Task,Best_Model,First_Turn_Pass_Rate,Avg_First_Turn_Latency_s
HumanEval_0,4b_nothink,1.000,2.390
HumanEval_1,8b_nothink,1.000,4.498
HumanEval_2,4b_nothink,1.000,1.249
HumanEval_3,4b_nothink,1.000,1.460
HumanEval_4,1.7b_nothink,1.000,1.751
HumanEval_5,4b_nothink,1.000,1.644
HumanEval_6,1.7b_nothink,1.000,1.796
HumanEval_7,0.6b_nothink,1.000,0.464
HumanEval_8,0.6b_nothink,1.000,0.699
HumanEval_9,4b_nothink,1.000,1.982
HumanEval_10,8b_nothink,1.000,4.709
HumanEval_11,1.7b_nothink,1.000,1.712
HumanEval_12,0.6b_nothink,1.000,0.657
HumanEval_13,0.6b_nothink,1.000,0.578
HumanEval_14,1.7b_nothink,1.000,0.740
HumanEval_15,0.6b_nothink,1.000,0.537
HumanEval_16,0.6b_nothink,1.000,0.600
HumanEval_17,4b_nothink,1.000,3.166
HumanEval_18,4b_nothink,1.000,1.843
HumanEval_19,8b_nothink,1.000,5.755
HumanEval_20,4b_nothink,1.000,3.502
HumanEval_21,1.7b_nothink,1.000,1.861
HumanEval_22,0.6b_nothink,1.000,0.587
HumanEval_23,0.6b_nothink,1.000,0.422
HumanEval_24,4b_nothink,1.000,1.630
HumanEval_25,1.7b_nothink,1.000,2.402
HumanEval_26,1.7b_think,1.000,20.791
HumanEval_27,0.6b_nothink,1.000,0.440
HumanEval_28,0.6b_nothink,1.000,0.504
HumanEval_29,0.6b_nothink,1.000,0.616
HumanEval_30,0.6b_nothink,1.000,0.515
HumanEval_31,1.7b_nothink,1.000,1.907
HumanEval_32,4b_think,0.600,388.258
HumanEval_33,4b_nothink,1.000,3.097
HumanEval_34,0.6b_nothink,1.000,0.540
HumanEval_35,0.6b_nothink,1.000,0.516
HumanEval_36,8b_nothink,1.000,2.699
HumanEval_37,1.7b_nothink,1.000,1.944
HumanEval_38,8b_nothink,1.000,5.102
HumanEval_39,4b_nothink,1.000,2.609
HumanEval_40,4b_nothink,1.000,3.602
HumanEval_41,1.7b_nothink,1.000,1.302
HumanEval_42,0.6b_nothink,1.000,0.529
HumanEval_43,1.7b_nothink,1.000,1.853
HumanEval_44,4b_nothink,1.000,1.798
HumanEval_45,0.6b_nothink,1.000,0.432
HumanEval_46,1.7b_nothink,1.000,2.660
HumanEval_47,0.6b_nothink,1.000,0.667
HumanEval_48,0.6b_nothink,1.000,0.526
HumanEval_49,0.6b_nothink,1.000,0.579
HumanEval_50,8b_nothink,1.000,2.559
HumanEval_51,1.7b_nothink,1.000,1.735
HumanEval_52,0.6b_nothink,1.000,0.506
HumanEval_53,0.6b_nothink,1.000,0.474
HumanEval_54,4b_think,1.000,16.789
HumanEval_55,0.6b_nothink,1.000,0.524
HumanEval_56,1.7b_nothink,1.000,1.540
HumanEval_57,4b_nothink,1.000,1.768
HumanEval_58,0.6b_nothink,1.000,0.719
HumanEval_59,1.7b_nothink,1.000,2.135
HumanEval_60,0.6b_nothink,1.000,0.555
HumanEval_61,1.7b_nothink,1.000,1.537
HumanEval_62,4b_nothink,1.000,1.615
HumanEval_63,0.6b_nothink,1.000,0.831
HumanEval_64,4b_think,1.000,24.671
HumanEval_65,1.7b_nothink,1.000,1.694
HumanEval_66,0.6b_nothink,1.000,0.629
HumanEval_67,4b_nothink,1.000,3.364
HumanEval_68,4b_nothink,1.000,4.574
HumanEval_69,1.7b_nothink,1.000,1.884
HumanEval_70,4b_nothink,1.000,2.510
HumanEval_71,1.7b_nothink,1.000,2.282
HumanEval_72,0.6b_nothink,1.000,0.772
HumanEval_73,4b_nothink,1.000,2.804
HumanEval_74,1.7b_nothink,1.000,2.206
HumanEval_75,1.7b_think,1.000,27.587
HumanEval_76,4b_nothink,1.000,1.361
HumanEval_77,4b_think,1.000,61.907
HumanEval_78,8b_nothink,1.000,3.299
HumanEval_79,0.6b_nothink,1.000,0.748
HumanEval_80,4b_nothink,1.000,1.966
HumanEval_81,4b_think,1.000,38.474
HumanEval_82,0.6b_nothink,1.000,0.682
HumanEval_83,8b_nothink,1.000,3.446
HumanEval_84,4b_nothink,1.000,2.288
HumanEval_85,4b_nothink,1.000,1.301
HumanEval_86,1.7b_nothink,1.000,1.840
HumanEval_87,4b_nothink,1.000,3.794
