A,B,p_A,p_B_given_fail_A,c_A,c_B_given_fail_A,accuracy_2T,mean_lat_2T,rescue_gain,rescue_extra_lat,eff_gain_per_sec
0.6nt,0.6t,0.3567,0.3222446758899425,1.94,10.32,0.564,9.1,0.20729999999999998,6.638856,0.031225259291661093
0.6nt,1.7nt,0.3598,0.51437050921587,0.76,3.31,0.689,3.17,0.3293,2.119062,0.15539894538243806
0.6nt,1.7t,0.3476,0.7524524831391785,2.55,17.28,0.8384,13.93,0.4909,11.273472,0.04354470388536912
0.6nt,14nt,0.372,0.8544585987261146,1.14,10.22,0.9085,7.8,0.5366,6.41816,0.08360651650940455
0.6nt,14t,0.3476,0.9206008583690988,1.21,97.74,0.9482,65.15,0.6006,63.765575999999996,0.009418875162360332
0.6nt,4nt,0.3872,0.6517624020887728,1.15,5.26,0.7866,4.72,0.3994,3.223328,0.12390920191801764
0.6nt,4t,0.3573,0.8993309475649602,1.24,40.18,0.9354,27.45,0.578,25.823686000000002,0.022382552204205083
0.6nt,8nt,0.3689,0.7778482015528443,1.14,4.47,0.8598,4.35,0.4909,2.821017,0.17401525761808598
0.6nt,8t,0.3573,0.903220787303563,1.03,61.22,0.9378,43.48,0.5805,39.346094,0.01475368812975438
0.6t,0.6nt,0.5122,0.13120131201312013,8.61,0.68,0.5762,9.1,0.064,0.33170400000000005,0.19294310590164723
0.6t,1.7nt,0.4695,0.5057492931196984,8.9,3.64,0.7378,11.19,0.2683,1.93102,0.13894211349442262
0.6t,1.7t,0.4878,0.6964076532604452,8.64,20.68,0.8445,19.79,0.3567,10.592296,0.03367541843619174
0.6t,14nt,0.497,0.8425447316103379,8.24,10.04,0.9207,13.72,0.4238,5.05012,0.08391879796915717
0.6t,14t,0.5061,0.9258959303502733,7.52,100.69,0.9634,57.46,0.4573,49.730790999999996,0.009195510282553117
0.6t,4nt,0.4848,0.6746894409937889,8.54,2.52,0.8323,10.18,0.3476,1.298304,0.26773390515626544
0.6t,4t,0.4878,0.8689964857477548,9.61,40.78,0.9329,30.7,0.4451,20.887516,0.021309379248351024
0.6t,8nt,0.5,0.7134,9.76,8.04,0.8567,14.12,0.3567,4.02,0.0887313432835821
0.6t,8t,0.4634,0.880730525531122,8.9,55.21,0.936,42.38,0.4726,29.625685999999998,0.015952373220994784
1.7nt,0.6t,0.6402,0.26264591439688717,2.25,10.85,0.7348,6.5,0.0945,3.90383,0.02420699671860711
1.7nt,1.7t,0.6585,0.5625183016105416,2.15,24.64,0.8506,10.9,0.19209999999999997,8.414560000000002,0.022829476526401847
1.7nt,14nt,0.628,0.7456989247311827,2.27,10.49,0.9055,6.66,0.2774,3.90228,0.07108664678085631
1.7nt,14t,0.6341,0.9248428532385897,2.27,107.45,0.9726,41.93,0.3384,39.315955,0.00860719267788357
1.7nt,4nt,0.6616,0.5676713947990543,2.25,7.49,0.8537,5.12,0.1921,2.534616,0.07579057340441313
1.7nt,4t,0.6476,0.8305902383654937,2.31,48.35,0.9402,19.54,0.2927,17.03854,0.017178701931033998
1.7nt,8nt,0.6677,0.6698766175142942,2.28,4.58,0.8902,4.05,0.2226,1.5219340000000001,0.14626127019962756
1.7nt,8t,0.6341,0.853238589778628,2.0,65.26,0.9463,27.44,0.3122,23.878634,0.013074449736111368
1.7t,0.6nt,0.8445,0.019292604501607722,15.35,0.7,0.8476,15.59,0.003,0.10884999999999997,0.02756086357372532
1.7t,1.7nt,0.8232,0.2584841628959276,14.19,2.0,0.8689,14.69,0.04569999999999999,0.3535999999999999,0.1292420814479638
1.7t,14nt,0.8201,0.7287381878821569,14.87,10.78,0.9512,16.94,0.1311,1.9393219999999993,0.0676009450725563
1.7t,14t,0.814,0.7865591397849461,13.82,128.73,0.9604,38.27,0.1463,23.943780000000004,0.006110146351160927
1.7t,4nt,0.7988,0.37872763419483096,14.42,11.07,0.875,16.8,0.0762,2.2272840000000005,0.034212071742983824
1.7t,8nt,0.8262,0.56156501726122,16.62,4.42,0.9238,17.57,0.0976,0.7681959999999998,0.12705090888262896
1.7t,8t,0.8415,0.6347003154574133,14.2,72.81,0.9421,29.28,0.1006,11.540384999999999,0.00871721350717502
14nt,0.6t,0.8933,0.11433926897844422,9.64,12.73,0.9055,11.17,0.0122,1.3582910000000004,0.008981875017945343
14nt,1.7t,0.9207,0.26860025220680944,9.85,38.73,0.9421,13.16,0.0213,3.071289000000001,0.006935198869269545
14nt,14t,0.8902,0.7777777777777778,9.69,140.19,0.9756,25.21,0.0854,15.392862000000001,0.005548026091574133
14nt,4t,0.9146,0.6428571428571426,9.67,86.81,0.9695,17.37,0.0549,7.413574000000003,0.007405335132555495
14nt,8t,0.8933,0.5998125585754451,9.93,85.27,0.9573,19.26,0.064,9.098309,0.007034274171167411
