setup,count,accuracy,pass_turn1_ratio,pass_turn2_ratio,pass_turn3_ratio,pass_turn4_ratio,fail_ratio,mean_latency,p50_latency,p90_latency,mean_llm_latency_turn1,mean_llm_latency_turn2,mean_llm_latency_turn3,mean_llm_latency_turn4,mean_e2e_pass_turn1,mean_e2e_pass_turn2,mean_e2e_pass_turn3,mean_e2e_pass_turn4,mean_e2e_fail
four-turn-nc-0.6nt-1.7nt-4nt-14nt,492,0.9451,0.3415,0.3435,0.1646,0.0955,0.0549,10.9,5.8,18.28,3.94,3.81,6.46,10.97,2.72,6.36,13.86,34.71,39.85
four-turn-nc-0.6nt-1.7nt-4nt-14t,492,0.9817,0.3435,0.3496,0.1626,0.126,0.0183,30.85,6.54,76.12,4.59,4.48,6.6,142.37,3.01,7.12,19.8,141.91,340.37
four-turn-nc-0.6nt-1.7nt-4nt-4t,492,0.9512,0.3618,0.3313,0.1667,0.0915,0.0488,15.2,5.58,30.62,2.7,2.72,2.93,64.91,2.73,6.26,9.45,46.95,128.48
four-turn-nc-0.6nt-1.7nt-4nt-8nt,492,0.9329,0.3252,0.3638,0.1768,0.0671,0.0671,9.94,7.75,16.13,4.47,4.08,3.16,5.15,3.42,8.4,12.62,30.66,22.1
four-turn-nc-1.7nt-4nt-14nt-14t,492,0.9858,0.6484,0.2114,0.0874,0.0386,0.0142,16.95,4.21,17.38,4.11,2.78,10.86,188.52,3.57,7.03,26.12,151.65,352.14
four-turn-nc-1.7nt-4nt-4t-14t,492,0.9858,0.6687,0.1829,0.0976,0.0366,0.0142,22.42,4.06,33.0,4.01,2.84,55.08,175.98,4.41,6.87,44.49,234.67,371.53
four-turn-nc-4nt-14nt-4t-14t,492,0.9858,0.7764,0.1606,0.0244,0.0244,0.0142,24.21,4.28,16.9,3.93,10.75,98.26,291.12,4.07,15.06,71.28,513.08,307.63
four-turn-nc-4nt-4nt-8nt-14nt,492,0.9593,0.7785,0.0325,0.0793,0.0691,0.0407,10.18,3.62,15.12,4.41,12.75,4.35,10.55,3.35,7.26,11.14,61.57,54.07
four-turn-nc-4nt-8nt-1.7t-14t,492,0.9919,0.7907,0.0976,0.0467,0.0569,0.0081,25.22,3.96,19.83,3.63,4.54,50.08,221.98,3.76,10.09,37.47,266.26,536.21
four-turn-nc-4nt-8nt-1.7t-4t,492,0.9634,0.7886,0.1037,0.0427,0.0285,0.0366,19.03,3.99,15.69,3.65,4.48,54.74,121.93,3.76,10.05,30.53,146.34,261.38
four-turn-nc-4nt-8nt-14nt-14t,492,0.9878,0.7967,0.1037,0.0569,0.0305,0.0122,17.15,4.14,13.07,4.98,4.43,10.37,232.44,4.0,9.27,40.34,203.44,369.14
four-turn-nc-4nt-8nt-14nt-4t,492,0.9817,0.7805,0.122,0.0508,0.0285,0.0183,10.51,4.34,13.42,4.0,4.47,10.46,85.39,4.13,9.83,22.46,69.33,162.55
four-turn-nc-4nt-8nt-4t-14t,492,0.9919,0.7927,0.1037,0.0752,0.0203,0.0081,23.63,4.19,20.4,5.02,10.23,72.62,295.47,4.02,20.28,52.78,444.71,655.91
