setup,model_size,mode,success_rate,total_reps,completed_reps,latency_mean,latency_p50,latency_p90,mean_llm_latency_turn1,mean_e2e_pass_turn1,mean_e2e_fail
one-turn-0.6b-nothink,0.6b,nothink,0.3561,820,820,1.66,0.77,1.13,1.31,0.96,2.05
one-turn-0.6b-think,0.6b,think,0.5163,492,492,7.02,3.55,16.55,6.95,4.25,9.97
one-turn-1.7b-nothink,1.7b,nothink,0.6659,820,820,2.53,2.05,2.95,2.45,2.49,2.6
one-turn-1.7b-think,1.7b,think,0.8455,492,492,15.31,8.96,34.15,15.11,11.52,36.09
one-turn-4b-nothink,4b,nothink,0.778,820,820,3.37,2.5,4.0,3.3,2.59,6.12
one-turn-4b-think,4b,think,0.937,492,492,29.44,18.62,50.37,29.36,23.33,120.3
one-turn-8b-nothink,8b,nothink,0.8211,492,492,5.53,3.93,6.5,5.43,4.22,11.53
one-turn-8b-think,8b,think,0.939,820,820,50.03,35.1,88.8,48.54,45.36,121.95
one-turn-14b-nothink,14b,nothink,0.9012,820,820,9.63,9.13,14.37,9.52,9.44,11.36
one-turn-14b-think,14b,think,0.9675,492,492,83.05,63.04,158.42,82.98,79.35,193.12
