mode,task,trial,success,coder_turns,pass_turn,outcome,elapsed_time
Qwen3-4B-nothink,HumanEval_0,0,True,1,1,pass,2.55
Qwen3-4B-nothink,HumanEval_0,1,True,1,1,pass,2.43
Qwen3-4B-nothink,HumanEval_0,2,True,1,1,pass,2.38
Qwen3-4B-nothink,HumanEval_1,0,False,6,0,fail_after_6_turns,17.57
Qwen3-4B-nothink,HumanEval_1,1,True,5,5,pass,14.05
Qwen3-4B-nothink,HumanEval_1,2,True,2,2,pass,5.6
Qwen3-4B-nothink,HumanEval_10,0,True,1,1,pass,2.61
Qwen3-4B-nothink,HumanEval_10,1,True,1,1,pass,2.25
Qwen3-4B-nothink,HumanEval_10,2,True,2,2,pass,2.79
Qwen3-4B-nothink,HumanEval_100,0,True,1,1,pass,2.28
Qwen3-4B-nothink,HumanEval_100,1,True,1,1,pass,2.33
Qwen3-4B-nothink,HumanEval_100,2,True,1,1,pass,2.42
Qwen3-4B-nothink,HumanEval_101,0,True,1,1,pass,2.14
Qwen3-4B-nothink,HumanEval_101,1,True,2,2,pass,3.96
Qwen3-4B-nothink,HumanEval_101,2,True,2,2,pass,4.32
Qwen3-4B-nothink,HumanEval_102,0,True,3,3,pass,6.62
Qwen3-4B-nothink,HumanEval_102,1,True,2,2,pass,3.8
Qwen3-4B-nothink,HumanEval_102,2,True,3,3,pass,6.31
Qwen3-4B-nothink,HumanEval_103,0,True,1,1,pass,2.91
Qwen3-4B-nothink,HumanEval_103,1,True,1,1,pass,2.87
Qwen3-4B-nothink,HumanEval_103,2,True,1,1,pass,2.91
Qwen3-4B-nothink,HumanEval_104,0,True,1,1,pass,2.04
Qwen3-4B-nothink,HumanEval_104,1,True,1,1,pass,2.05
Qwen3-4B-nothink,HumanEval_104,2,True,1,1,pass,2.07
Qwen3-4B-nothink,HumanEval_105,0,True,1,1,pass,5.15
Qwen3-4B-nothink,HumanEval_105,1,True,1,1,pass,5.14
Qwen3-4B-nothink,HumanEval_105,2,True,1,1,pass,5.19
Qwen3-4B-nothink,HumanEval_106,0,True,1,1,pass,2.74
Qwen3-4B-nothink,HumanEval_106,1,True,1,1,pass,2.75
Qwen3-4B-nothink,HumanEval_106,2,True,1,1,pass,2.77
Qwen3-4B-nothink,HumanEval_107,0,True,1,1,pass,3.58
Qwen3-4B-nothink,HumanEval_107,1,True,1,1,pass,3.58
Qwen3-4B-nothink,HumanEval_107,2,True,1,1,pass,3.61
Qwen3-4B-nothink,HumanEval_108,0,False,6,0,fail_after_6_turns,22.27
Qwen3-4B-nothink,HumanEval_108,1,True,1,1,pass,3.34
Qwen3-4B-nothink,HumanEval_108,2,True,1,1,pass,3.41
Qwen3-4B-nothink,HumanEval_109,0,True,1,1,pass,4.63
Qwen3-4B-nothink,HumanEval_109,1,True,1,1,pass,5.03
Qwen3-4B-nothink,HumanEval_109,2,False,6,0,fail_after_6_turns,36.0
Qwen3-4B-nothink,HumanEval_11,0,True,1,1,pass,2.51
Qwen3-4B-nothink,HumanEval_11,1,True,1,1,pass,2.48
Qwen3-4B-nothink,HumanEval_11,2,True,1,1,pass,2.54
Qwen3-4B-nothink,HumanEval_110,0,True,2,2,pass,9.3
Qwen3-4B-nothink,HumanEval_110,1,True,2,2,pass,9.48
Qwen3-4B-nothink,HumanEval_110,2,True,2,2,pass,8.46
Qwen3-4B-nothink,HumanEval_111,0,True,1,1,pass,3.24
Qwen3-4B-nothink,HumanEval_111,1,True,1,1,pass,3.27
Qwen3-4B-nothink,HumanEval_111,2,True,1,1,pass,3.25
Qwen3-4B-nothink,HumanEval_112,0,True,1,1,pass,2.73
Qwen3-4B-nothink,HumanEval_112,1,True,1,1,pass,2.69
Qwen3-4B-nothink,HumanEval_112,2,True,1,1,pass,2.79
