config,category,n_tasks,accuracy_pct,latency_mean_s,latency_p50_s,latency_p90_s,latency_p99_s,latency_min_s,latency_max_s,latency_std_s
0.6B homo,homo,164,43.9,13.02,10.8,30.12,51.0,1.08,86.23,13.39
1.7B homo,homo,164,78.66,20.7,2.11,58.95,213.55,1.19,358.38,45.55
4B homo,homo,160,92.5,14.86,3.27,31.43,169.27,1.44,312.45,37.66
8B homo,homo,162,96.91,23.74,4.96,26.93,379.72,2.38,448.39,67.72
0.6B->1.7B,hetero,164,59.15,22.75,10.8,58.56,98.91,1.07,140.86,25.94
0.6B->4B,hetero,161,63.98,29.99,14.12,69.68,216.06,1.06,578.75,56.1
0.6B->8B,hetero,163,74.85,45.97,19.33,124.67,252.68,1.08,416.57,62.7
1.7B->0.6B,hetero,164,78.05,15.46,2.14,44.91,137.49,1.23,314.1,33.86
1.7B->4B,hetero,164,83.54,25.85,2.08,72.44,356.93,1.21,599.27,73.12
1.7B->8B,hetero,164,87.2,31.11,2.24,121.84,279.58,1.25,336.78,65.16
4B->0.6B,hetero,163,90.8,16.77,3.14,43.47,172.44,1.48,582.24,53.57
4B->1.7B,hetero,163,90.18,18.67,3.17,36.98,253.96,1.51,394.43,52.85
4B->8B,hetero,163,95.09,23.82,3.25,37.99,401.6,1.51,516.97,72.74
8B->0.6B,hetero,164,90.85,18.9,5.11,70.5,167.61,2.2,280.76,39.62
8B->1.7B,hetero,164,95.73,20.02,5.0,48.89,240.01,2.16,290.4,46.68
8B->4B,hetero,164,93.9,21.49,4.95,67.98,220.02,2.46,225.74,47.48
8B(think)->1.7B,mixed,164,95.12,17.43,5.36,47.22,159.31,2.5,293.98,37.78
8B->1.7B(think),mixed,162,93.83,18.25,4.86,46.05,202.02,2.42,280.07,41.88
4B(think)->0.6B,mixed,164,94.51,10.12,3.2,23.62,110.11,1.5,147.5,22.05
4B->0.6B(think),mixed,164,89.63,12.1,3.2,37.83,114.4,1.66,130.6,24.18
