Task,0.6b_nothink,1.7b_nothink,4b_nothink,8b_nothink,0.6b_think,1.7b_think,4b_think,8b_think
HumanEval_0,0.667,0.333,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_1,0.000,0.000,0.000,1.000,0.000,0.600,1.000,1.000
HumanEval_2,0.667,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_3,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_4,0.333,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_5,0.000,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_6,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_7,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_8,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_9,0.333,0.667,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_10,0.000,0.333,0.667,1.000,0.000,1.000,0.800,1.000
HumanEval_11,0.667,1.000,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_12,1.000,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_14,0.667,1.000,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_15,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_16,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_17,0.000,0.667,1.000,1.000,0.000,1.000,1.000,1.000
HumanEval_18,0.000,0.667,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_19,0.000,0.000,0.333,1.000,0.000,0.600,1.000,1.000
HumanEval_20,0.000,0.000,1.000,1.000,0.400,0.800,1.000,1.000
HumanEval_21,0.000,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_22,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_23,1.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_24,0.333,0.333,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_25,0.000,1.000,1.000,1.000,0.400,0.800,1.000,1.000
HumanEval_26,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000
HumanEval_27,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_28,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_29,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_30,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_31,0.667,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_32,0.000,0.000,0.000,0.000,0.000,0.200,0.600,0.000
HumanEval_33,0.000,0.667,1.000,1.000,0.000,1.000,1.000,1.000
HumanEval_34,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_35,1.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_36,0.000,0.667,0.333,1.000,0.600,1.000,1.000,1.000
HumanEval_37,0.000,1.000,1.000,1.000,0.200,1.000,1.000,1.000
HumanEval_38,0.000,0.000,0.000,1.000,0.000,0.200,0.000,0.000
HumanEval_39,0.000,0.000,1.000,1.000,0.000,0.800,1.000,1.000
HumanEval_40,0.000,0.667,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_41,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_42,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_43,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_44,0.667,0.000,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_45,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_46,0.667,1.000,1.000,1.000,0.000,1.000,1.000,1.000
HumanEval_47,1.000,1.000,1.000,1.000,0.800,1.000,1.000,0.600
