setup,count,accuracy,pass_turn1_ratio,pass_turn2_ratio,fail_ratio,median_latency,p50_latency,p90_latency,median_llm_latency_turn1,median_llm_latency_turn2,median_e2e_pass_turn1,median_e2e_pass_turn2,median_e2e_fail
two-turn-nc-0.6nt-0.6t,328,0.564,0.3567,0.2073,0.436,3.45,3.45,18.6,0.71,4.0,0.69,4.13,6.64
two-turn-nc-0.6nt-1.7nt,328,0.689,0.3598,0.3293,0.311,2.21,2.21,3.63,0.72,1.81,0.7,2.58,2.81
two-turn-nc-0.6nt-1.7t,328,0.8384,0.3476,0.4909,0.1616,7.11,7.11,36.04,0.73,11.01,0.72,10.58,20.71
two-turn-nc-0.6nt-14nt,328,0.9085,0.372,0.5366,0.0915,8.62,8.62,15.59,1.08,9.39,1.11,10.73,11.84
two-turn-nc-0.6nt-14t,328,0.9482,0.3476,0.6006,0.0518,47.03,47.03,137.61,1.18,71.54,1.15,71.24,215.97
two-turn-nc-0.6nt-4nt,328,0.7866,0.3872,0.3994,0.2134,2.85,2.85,5.01,1.09,2.3,1.11,3.61,3.75
two-turn-nc-0.6nt-4t,820,0.9354,0.3573,0.578,0.0646,14.59,14.59,51.61,0.73,21.17,0.69,21.66,59.96
two-turn-nc-0.6nt-8nt,328,0.8598,0.3689,0.4909,0.1402,4.43,4.43,7.89,1.1,4.19,1.08,5.57,5.29
two-turn-nc-0.6nt-8t,820,0.9378,0.3573,0.5805,0.0622,27.26,27.26,89.69,0.75,39.42,0.72,39.23,95.4
two-turn-nc-0.6t-0.6nt,328,0.5762,0.5122,0.064,0.4238,5.29,5.29,19.27,4.9,0.61,4.19,7.05,7.28
two-turn-nc-0.6t-1.7nt,328,0.7378,0.4695,0.2683,0.2622,6.04,6.04,23.53,4.56,1.86,3.89,7.01,9.8
two-turn-nc-0.6t-1.7t,328,0.8445,0.4878,0.3567,0.1555,10.47,10.47,43.7,4.64,11.16,3.89,18.03,32.74
two-turn-nc-0.6t-14nt,328,0.9207,0.497,0.4238,0.0793,10.75,10.75,31.03,4.81,9.41,3.85,16.24,22.16
two-turn-nc-0.6t-14t,328,0.9634,0.5061,0.4573,0.0366,20.62,20.62,157.11,4.73,71.73,4.07,78.34,136.39
two-turn-nc-0.6t-4nt,328,0.8323,0.4848,0.3476,0.1677,6.45,6.45,21.53,4.77,2.25,3.85,8.66,10.19
two-turn-nc-0.6t-4t,328,0.9329,0.4878,0.4451,0.0671,14.88,14.88,64.17,4.89,20.68,4.35,30.63,117.79
two-turn-nc-0.6t-8nt,328,0.8567,0.5,0.3567,0.1433,6.99,6.99,28.0,4.76,4.22,3.94,10.95,13.12
two-turn-nc-0.6t-8t,328,0.936,0.4634,0.4726,0.064,22.88,22.88,92.48,4.52,41.28,3.82,47.18,105.21
two-turn-nc-1.7nt-0.6t,328,0.7348,0.6402,0.0945,0.2652,2.71,2.71,14.46,2.23,5.4,2.25,8.62,8.09
two-turn-nc-1.7nt-1.7t,328,0.8506,0.6585,0.1921,0.1494,2.55,2.55,30.89,2.12,14.55,2.1,14.9,22.39
two-turn-nc-1.7nt-14nt,328,0.9055,0.628,0.2774,0.0945,2.76,2.76,15.39,2.23,9.69,2.23,12.19,12.65
two-turn-nc-1.7nt-14t,328,0.9726,0.6341,0.3384,0.0274,2.83,2.83,107.66,2.3,69.42,2.25,70.49,141.13
